Hardy,Sallebray
,"LE POETE. | Parlons-en, je le veux, m’avés vous fait l’honneur | De lire ce Sonnet où j’ai peint mon bon-heur ? |"
,"LA VIEILLE, à part avec Precieuse. | Puisque cet entretien te plaist et te contente, | 110 | Je m’en vay cependant faire un tour dans la tante, | {p. 11} | Mais si de son amour il t’ose encor parler, | Tranche luy moy tout court201, ou me viens appeler. |"
,"PRECIEUSE. | Allés, cela vaut fait202. |"
,"PRECIEUSE. | Ouy, j’ay leu cet ouvrage, | C'est sur nôtre rencontre. |"
,LE POETE. | Ajoutés mon servage203. |
,"PRECIEUSE. | 115 | Chaque rime en est riche, et dans les plus nouveaux204, | Les termes, à mon gré, ne semblent point si beaux, | Le tour du Vers est noble, agréable et facile, | Enfin vous triomphés dans la douceur du stile. | {p. 12} |"
,"LE POETE. | Enfin vous vous moqués de ce que j’ay produit, | 120 | Mais dans le triste état où vous m’avés réduit, | Sous le fais205 de mes maux, mon ame gemissante206 | Abat ainsi ma Muse, et la rend languissante, | Et c’est bien rarement que l’on void des enfans, | Quand leur pere se meurt, pompeux et triomphans. | 125 | Mais si de quelque espoir vous consolés ma peine, | Si vos rudes frédeurs207 ne glacent plus ma veine, | Vous en verrés couler mille torrens de Vers, | Qui de vôtre beau nom rempliront l’Univers, | Et qui prenans dans l’air une route conuë, | 130 | Vous remettront au Ciel, d’où vous étes venuë ;208 | Beaux yeux qui m’inspirés ce glorieux dessein, | Lancés pour son effet vôtre feu dans mon sein, | Soyez mon Apollon209... |"
,"PRECIEUSE. | C'est assés me confondre, | Donnés-moy pour le moins le temps de vous répondre, | 135 | Ou plustost , excusés ma curiosité, | Vous mesme répondés, mais avec verité. | Ce que je veux aprendre au moins n’est pas sans cause, | {p. 13} | Et le sçavoir au vray210 m’importe en quelque chose ; | Dites-moy donc sans feinte, étes-vous Poëte ? |"
,"LE POETE. | Non : | 140 | Il est trop peu de gens qui méritent ce nom, | Avec ardeur* pourtant j’aime la Poësie, | Et j’en puis sans secours, passer ma fantaisie. | Si j’ay besoin d’une Ode, ou de quelque Sonnet, | Une heure en fait l’office au lit, au cabinet, | 145 | Mais pour faire des Vers je ne suis pas Poëte, | Dieu me garde de l’étre, ou que je le souhaite. |"
,"PRECIEUSE. | Peu de gens, dites-vous, en meritent le nom, | Et vous en craignés tout, mesme jusqu’au renom : | Cette condition n’est donc pas honorable. |"
,LE POETE. | 150 | A ne faire autre chose elle est peu favorable. | Ce n’est pas que l’effet n’en soit bien glorieux. |
,PRECIEUSE. | Pourquoy le nom de Poëte est-il donc odieux ? |
,"LE POETE. | C'est sans doute un venin de ces ames vulgaires | {p. 14} | Qui n’ont aucune part à nos sacrés mysteres, | 155 | D'un tas de jeunes gens qui n’ont pas merité | De sentir ce rayon de la divinité, | De ces petits esprits qui se donnent la géne* | Pour treuver dans leur teste un mot qui rime à chaine, | Qui n’ont sceu penetrer dans ces saintes forests, | 160 | Où le Dieu du sçavoir découvre ses secrets, | Et que les doctes Soeurs211 ont jugé trop indignes | D'honorer comme nous de leurs faveurs* insignes*, | Ignorans, babillars*, censeurs, ambitieux, | Enragés de nous voir si bien avec les Dieux : | 165 | Ouy, ce sont ces messieurs, qui d’une humeur profane | Approuvent dans leur cœur ce que leur voix condane : | Car enfin ce bel Art, l’amour des beaux esprits, | Dont les honestes gens se sentent tous épris, | Cette chaste beauté qu’on nomme Poësie, | 170 | Ne vient point, comme on croit, de nôtre frenesie*, | Elle est fille du Ciel, son aimable entretien | Fait reverer par tout quiconque en use bien. | Les Rois avec plaisir goûtent sa compagnie, | Sa douceur est charmante, et sa grace infinie, | 175 | C'est le Trône animé des plus nobles vertus, | {p. 15} | Le beau champ où l’on void les vices abatus, | Le guide qui conduit les Heros à la gloire, | La triomphante voix qui chante leur victoire, | Le marbre où sont gravés leurs noms dignes des Cieux, | 180 | Le temple de l’honneur, le langage des Dieux, | La Reine des destins, la source de la vie, | Le tresor des beaux fais, et le fleau212 de l’envie : | Voylà de ce Soleil quelques simples crayons, | Vous traceray-je encor quelqu’un de ses rayons ? | 185 | C'est une piece rare, où cent beautés paressent, | Qu'il ne faut exposer qu’à ceux qui s’y conessent, | Non pas à la façon de quelques importuns, | Qui, les offrant à tous, rendent ces biens communs. |"
,"PRECIEUSE. | Ouy, mais cette beauté si noble et si cherie | 190 | Est pauvre à ce qu’on dit. |"
,"LE POETE. | C'est une raillerie, | Au contraire elle est riche, au moins void-on contens | Tous ceux qui dans son sein prenent leurs passe-temps : | Rare condition, belle Philosophie, | {p. 16} | Dont l’usage est puissant, puisqu’il nous deïfie,213 | 195 | Mais rendés-moy le bien que je vous ay prété, | En excusant aussi ma curiosité, | De la vôtre apres tout, peut-on sçavoir la cause ? |"
,"PRECIEUSE. | Ouy da*, c’est la raison qu’icy je vous l’expose, | C'est que vous croyant Poëte à vôtre procedé, | 200 | Et par cette raison pas trop acommodé, | Voulant lire vos Vers, je crus étre charmée | De voir une pistole* avec eux enfermée, | Je la tâtay cent fois, et j’en doutais encor, | Mais l’ayant fait sonner, je veis qu’elle étoit d’or,214 | 205 | Lors, quoy que toute seule à ce nouveau spectacle, | Un Poëte, m’écriay-je, a de l’argent, Miracle ! |"
,LE POETE. | Que je le sois ou non. |
,"PRECIEUSE. | Souffrés* ma liberté, | Puisque vous n’avés rien de cette qualité. |"
,"LE POETE. | Prenés ces autres Vers qui partent de ma veine | 210 | Et de ce que je suis ne soyés plus en peine, | {p. C, 17} | Suffit que si j’étois d’un monde possesseur, | Je vous l’offrirois tout, aussi bien que mon cœur.215 |"
,"PRECIEUSE. | (Elle le tâte.) | O Dieu ! ce papier brûle, il est tout plein de flames, | Et doit vivre long-temps, car il a plusieurs ames, | 215 | La pistole en est une, et puis celle des Vers, | Où l’on en void tousjours plus que dans l’Univers. | Or sus216, mon Cavalier, de ces biens qui sont vôtres, | Reprenés l’ame d’or217, je retiendray les autres, | Voylà celle d’hier que je vous rens aussi, | 220 | C'est elle-mesme au moins, et puisqu’il est ainsi, | Contractons entre nous une amitié qui dure, | Mais changés cette infame et lâche procedure, | Venés me visiter quelque fois, j’y consens, | Comme faiseur de Vers, et non pas de presens. |"
,"LE POETE. | 225 | Hé bien vous le voulés ? il faut donc les reprendre, | Trop heureux de cett’offre, où je n’osois pretendre :218 | Mais ayant eu l’honeur de passer par vos mains, | Il ne doit plus servir au trafic des humains | {p. 18} | Ce tresor que j’égalle à ceux des Republiques219, | 230 | Et je vay l’enchâsser ainsi que des Reliques.220 |"
,LA VIEILLE. | Précieuse. |
,PRECIEUSE. | C'est fait. |
,"LA VIEILLE. | R'entre221 sans contester, | J'entens venir quelqu’un qui pouroit t’arréter, | Nos gens vont à la ville, il faut que tu te pares. |"
,PRECIEUSE. | Nous bravons sans cela les beautés les plus rares. | (En se retirant elle laisse choir sans dessein le papier que le Poëte luy a donné.) |
"DOM JEAN | Puissant maître des Dieux, modère Amour, modère | Le foudre décoché de ta juste colère, | N'exige, si cruel, d'un profane mépris, | D'une stupide erreur qui me retenait pris, | 5 | Cette punition plus grande que le crime; | Ou prends qu'il excédât, la pitié magnanime | D'une double couronne honore le vainqueur, | Qui, le plus offensé, montre moins de rigueur, | Qui voit que son captif à genoux s'humilie, | 10 | Et de ses propres mains volontaire se lie. | Jusqu'ici mon printemps défia ton pouvoir, | Les plus rares objets ne saurent l'émouvoir, | Narcisse impitoyable à mille belles dames, | Chez qui ma glace éprit la rigueur de tes flammes. | 15 | Mais ainsi que Junon abat le plus souvent | Avec un peu d'humeur les orages du vent, | Ainsi que la rémore arrête sur Neptune | L'orgueil haut élevé de la nef importune, | Tu n'as, Porte-carquois, contre un audacieux | 20 | Voulu choisir l'objet en grandeur spécieux : | Celui qui dans les lacs de sa beauté me lie, | D'un vulgaire passant la plus fangeuse lie, | Du nombre indigne sort de celles qui s'en vont | Le mensonge à la langue et l'impudence au front | 25 | Prédire sous leur art cauteleux d'imposture | Ce qu'un peuple idiot nomme bonne aventure. | Là mon soleil reluit à travers ces nuaus ; | Là, subtil oiseleur, tu cachas tes gluaus, | Là ma sainte paraît rose entre des épines, | 30 | Qui sur les cœurs humains exerce ses rapines, | Qui mérite un Empire; et rare diamant | Se va dans ce fumier attaché diffamant. | Las ! plus le souvenir court sa céleste idée, | Une rage d'amour s'augmente débordée ; | 35 | Ce front voûté d'albâtre, et ces deux astres clairs | D'où Cupidon foudroie environné d'éclairs, | Ces cheveux d'or épars à tresses vagabondes | Qu'un Zéphyr amoureux fait frisoter en ondes, | Et le double corail de sa bouche qui rend | 40 | Mille oracles le jour, un Dieu les inspirant, | Ses naïves façons, sa grâce plus qu'humaine, | De ce beau sein de neige une enflure germaine, | Ce corsage à celui d'un jeune pin pareil, | Bref de tant de beautés le guerrier appareil, | 45 | Ne suffisait-il trop à réduire la terre ? | À bâtir la prison cruelle qui m'enserre ? | À me priver à coup de somme et de repas ? | Toutefois reprend cœur, ne désespère pas, | L'or fourrier de l'amour partout lui trouve place, | 50 | L'or allume enchanteur le feu dedans la glace, | L'or coula Jupiter dedans la tour d'airain | Où sa belle maîtresse on captivait en vain, | L'or fut le seul rameau que le preux fils d'Anchise | Prit à le consulter d'inviolable franchise. | 55 | Ces rayons enfermés que je vais déployer | Me doivent obtenir un amoureux loyer, | Telle sorte de gens pauvre se jette au lucre, | Ne craindrait à ce prix d'entrer vive au sépulcre. | Or voici le passage épié du retour | 60 | Qu'à la ville fera cette aurore d'amour, | Où libre de mes feus j'attente l'ouverture : | Courage, un bruit survient qui proche me l'augure. | Là voici dont l'abord m'épouvante confus, | De crainte de souffrir la honte du refus. |","DOM JEAN DE CARCAME, seul. | 235 | Hé bien, es-tu content puissant Maistre des Dieux222, | Conessant le sujet qui m’amene en ces lieux ? | Ay-je enfin satisfait à ta juste colere ? | Et puis-je desormais esperer de te plaire ? | Je le confesse Amour, j’ay bravé ton pouvoir, | 240 | Tes effets jusqu’icy n’avoient pû m’émouvoir, | J'ay devant tes sujets ta gloire* méprisée, | J'ay fait de ton carquois un objet de risée, | J'ay renversé ton trône, abatu tes autels, | Je t’ay mesme tiré du rang des immortels, | 245 | Et ne t’avois placé que dans la fantaisie* | De ceux qui sont ateints d’un peu de frenesie* : | Mais puisque je pechois par une aveugle erreur, | Tu devois moderer l’excés de ta fureur, | Et pour rendre pareil le châtiment au crime, | 250 | N'ajoûter point la honte à ce joug qui m’oprime223. | S'il me faloit servir ces illustres beautés, | Où la naissance est jointe aux rares qualités, | Bien loin d’en murmurer je benirois mes chaines, | {p. 20} | Et ferois mon bon-heur des tourmens et des génes, | 255 | Car enfin il est vray qu’il n’est rien de plus doux | Que de se voir l’objet de leurs aimables coups, | Que nôtre ame est heureuse alors qu’elle en soupire ! | Et que cet esclavage est plus beau qu’un empire !224 | Mais qu’une Egiptienne ait rangé sous sa loy | 260 | Ce cœur ambitieux, ce cœur digne d’un Roy, | O mortelle infamie ! ô honte irréparable ! | Par là tu prouves mieux ton pouvoir redoutable | Que si tu deplyois tes plus puissans ressors, | Et tu parois plus fort par ces febles effors, | 265 | Il est, il est d’un Dieu, de prendre d’une offence | Par un moyen si bas, une haute vengeance. | Si bas, ha crime encor plus noir que le premier ! | Peux-tu m’avoir ouy, Ciel, sans me foudroyer ? | Profane qu’ay-je dit ? pardonne moy bel Ange, | 270 | Tu ne brilles pas moins pour estre dans la fange, | La terre a ses tresors, la nuit a son Soleil, | L'éclat du diamant est par tout sans pareil, | La rose est toujours rose au milieu des espines, | Enfin, tout sert de lustre à tes beautés divines. | (Il tire une bourse de sa poche.) | 275 | Precieux instrument des nobles passions, | Brillant fourier225 d’amour de toutes nations, | Favorable enchanteur* dont la force des charmes | {p. 21} | Peut des plus chastes mains faire tomber des armes, | Ame de l’Univers qui fais tout, qui peux tout, | 280 | Par qui de toute chose on peut venir à bout, | Metal incorruptible, et qui peux tout corrompre226, | Puisqu’il n’est rien si fort que tu ne puisse rompre, | Qu'un Dieu mesme implora ton pouvoir souverain, | Et n’entra que par toy dedans la tour d’airain227, | 285 | Tu peux bien faire moins, seconde* ma licence, | Et fay moy triompher d’une jeune innocence. | La voicy, Dieux ! je tremble à son divin aspect, | Et je sens ce desir qui se change en respect228.229 |"
,"LA VIEILLE, voyant Precieuse qui cherche quelque chose. | Qu'est-ce donc ? |"
,PRECIEUSE. | Ce n’est rien. | {p. 22} |
,"DOM JEAN, seul. | Amour soutien ta cause. |"
,LA VIEILLE. | 290 | Rien ! |
,PRECIEUSE. | Non rien. |
,LA VIEILLE. | Il faut bien que ce soit quelque chose. |
,"PRECIEUSE. | Dieu, qu’un petit sujet vous donne un grand soucy ! | Hé bien, c’est une papier qui vient de choir icy. | Etes-vous satisfaite ? |"
,"DOM JEAN, à part. | Ha que cet Astre brille ! |"
,"PRECIEUSE, ayant apperceu son papier. | Le voylà. |"
,LA VIEILLE. | C'est luy-mesme. | {p. 23} |
,PRECIEUSE. | Ouy. |
,"LA VIEILLE. | Vien, suy moy ma fille, | 295 | Il le faut aborder. |"
,PRECIEUSE. | Qui ? |
,LA VIEILLE. | Ce Seigneur. |
,"PRECIEUSE. | O Dieux ! | Je ne le voyois pas, mais feignons pour le mieux.230 | La Croix mon Cavalier231. |"
,DOM JEAN. | O favorable augure ! |
"PRÉCIEUSE | 65 | Ô la belle rencontre! ô l'heureuse embuscade ! | Cette pâleur pourtant le montre un peu malade. | La croix, mon cavalier, après tendez la main | Votre bonne aventure on vous dira soudain. |",PRECIEUSE. | Nous vous dirons apres vôtre bonne avanture232. |
"DOM JEAN | Tu l'as mise la croix en cette âme captive, | 70 | Seul soleil des beautés de l'Espagnole rive, | Petite charmeresse apprise à décocher | Des œillades qui font en langueur dessécher. |","DOM JEAN. | Viens-tu de quelque espoir consoler ma langueur, | {p. 24} | 300 | Et moderer le feu que tu meis233 dans mon cœur ? | Répons en ma faveur une bonne parole. |"
PRÉCIEUSE | Êtes-vous de ceux-là ? |,"PRECIEUSE. | Voyons dans vôtre main, qui ce discours cajole*. |"
DOM JEAN | Je suis l'un des esclaves | À qui tu sus donner d'invisibles entraves. |,"LA VIEILLE. | Mon bon Seigneur sur tout, mettés la Croix dedans, | Celles d’or marquent mieux les heureux accidens*. |"
"PRÉCIEUSE | 75 | On traite les poulains de la sorte au printemps, | De peur que déchaînés ils ne gagnent les champs. |","PRECIEUSE. | 305 | Vous étes né sous les planettes | D'Amour et de Valeur, de Venus et de Mars, | Vôtre honneur court quelques hazars* | Dans l’entreprise que vous faites. |"
"DOM JEAN | Mauvaise, ne crains plus l'accident de ma fuite, | Ne crains plus que le cœur s'écoule de ta suite. |","DOM JEAN. | 325 | Ha ! ne me flate plus de cette erreur comune, | De toy seulle depend l’une et l’autre fortune*, | Et mon sort si tu veux, soit doux, soit inhumain, | Se lira dans tes yeux beaucoup mieux qu’en ma main. | Ne reconois-tu pas ce Dom Jean de Carcame ? | 330 | C'en est le corps au moins qui vient joindre son ame, | Son ame que tu pris... |"
"VIEILLE ÉGYPTIENNE | Monsieur, la croix, ou bien tels discours superflus | 80 | Qui font mourir de faim ne nous retiennent plus. |",PRECIEUSE. | En quel temps ? En quel lieu ? |
"DOM JEAN | Mes discours écoutez, ains mes humbles prières | Compensent d'un moment les peines journalières, | Dire oui vaudra mieux que de votre métier | Les piles encourir un siècle tout entier. |","DOM JEAN. | Où ta rare beauté mit en sa place un Dieu, | A Seville en un mot, ha ! c’est trop méconétre | {p. 26} | L'Amour que dans ton sein tes beaux yeux firent naitre, | 335 | Là tu ravis mon cœur que je t’allois offrir, | Et commenças dés lors à me faire souffrir, | Garde le bien ce cœur, ce larcin m’est aimable, | Je gaigne en cette perte un bien inestimable, | Et si tous mes tresors te pouvoient contenter, | 340 | En voicy quelques-uns que je viens t’apporter. | (Il luy offre la bourse) |"
"PRÉCIEUSE | 85 | Oui oui, le voilà dit à haute voix : où et-ce | Que nous allons trouver l'effet de la promesse ? |",LA VIEILLE. | Bon cela. |
"DOM JEAN | Où tu feras, sensible à ma ferme amitié, | Luire quelque rayon palpable de pitié ? |",DOM JEAN. | Recoy les avecque l’asseurance | De posseder le reste. |
VIEILLE ÉGYPTIENNE | Sourdes à écouter ces répliques frivoles | 90 | Comme les avocats nous vendons les paroles. |,LA VIEILLE. | Agreable esperance. |
"DOM JEAN | Et moi comme amoureux je les donne, faisant | Que l'or soudain se trouve avec elles présent. |",DOM JEAN. | Si tu veux approuver ma constante amitié*. |
"VIEILLE ÉGYPTIENNE | Mon bon seigneur, voyons ce miracle, de grâce. |",LA VIEILLE. | Ma fille qu’en dis-tu ? pour moy j’en ay pitié237. |
DOM JEAN | Qui fait du plaisir veut que plaisir on lui fasse. |,"DOM JEAN. | 345 | Ouy, si quelque faveur* répond à mon envie,238 | Sans mener plus long-temps cette honteuse vie, | {p. 27} | Je vous mets toutes deux au faiste du bon-heur, | Et je vous fay passer de l’opprobre à l’honneur. |"
"VIEILLE ÉGYPTIENNE | 95 | Ès bornes de l'honneur enclos, et du pouvoir, | Plutôt que demandé vous l'allez recevoir. |",
DOM JEAN | Ô triste réconfort ! Promesse captieuse ! |,
"VIEILLE ÉGYPTIENNE | Ne nous amusons plus, ma fille Précieuse. |",
"DOM JEAN | Précieuse vraiment, ce beau nom t'est bien du, | 100 | Qui de la chose en soi témoignage a rendu ; | Précieuse vraiment, qui de valeur effaces | Qui remporte le prix des beautés et des grâces, | Mais fille l'avouer, vu l'inégalité | De l'âge, causerait une incrédulité. |",
"VIEILLE ÉGYPTIENNE | 105 | Nièce, de qui la mère eût l'être de ma couche, | Tel grade indifférent au principal ne touche. |",
"DOM JEAN | Non, le cœur vous le va tirer de là-dedans, | Le cœur pressé de crainte et de flambeaux ardents : | Bien que l'extraction noble me recommande, | 110 | Issu d'une famille et opulente et grande, | Que Madrid reconnait la première aujourd'hui, | Bien qu'unique resté d'un vieil père l'appui, | Dom François de Carcame, à qui dans peu se donne | L'un des plus beaux états vaquant de la Couronne : | 115 | Mais or' qu'il possédât Monarque l'univers, | Seul craint, seul obéi de ses peuples divers, | Ta divine beauté me dérobe à moi-même, | Te servir me tient plus content qu'un diadème, | Ma fortune à tes pieds se prosterne, qui veux, | 120 | N'avoir dorénavant autre sainte à mes vœux, | N'avoir autre désir, n'avoir autre pensée, | Qui ne connait ma vie ailleurs mieux dépensée, | Ailleurs qu'en sacrifice à ton mérite offert | Référer l'infini du long tourment souffert | 125 | Depuis le jour fatal de ta première vue, | Que le cœur assené d'une flèche impourvue | Excède mon pouvoir et la commune foi. | Reçois donc ce captif sous l'amoureuse loi, | Qui d'arrhes seulement de sa ferme constance | 130 | À tes perfections ces cent ducats avance, | Lors que gratifié de la moindre faveur, | Présume une fortune acquise en ma ferveur. | Sans te plus travailler ça et là vagabonde, | L'opprobre le mépris, et la fable du monde, | 135 | Toutes deux à l'abri de mon ombre, ne faut | Craindre qu'après votre heur endure aucun défaut. |",
